"","npp","vegc","soilc","litc","allc","allc_veg","rh"
"1700",66.7924738214643,1021.82300007427,2518.19301163128,494.141415569064,3012.33442720034,4034.15742727461,60.1526261636659
"1701",65.5930514536088,1021.78875253916,2518.37106631279,493.97882128302,3012.34988759581,4034.13864013497,59.9506140494367
"1702",65.5832274751959,1022.57088703981,2518.52566040345,493.261600306347,3011.7872607098,4034.35814774961,59.4906059435782
"1703",64.6533186620871,1020.97924677109,2519.06153013337,493.420213921707,3012.48174405507,4033.46099082616,59.7833102822927
"1704",65.9561579538952,1021.57883639595,2518.66006994055,493.017330430865,3011.67740037142,4033.25623676737,60.4420577111514
"1705",66.4289236484914,1021.89449452408,2518.29460266764,493.441813297321,3011.73641596496,4033.63091048904,60.1941660037655
"1706",66.6342742292324,1021.78568289721,2518.87408951233,494.090158560911,3012.96424807324,4034.74993097046,59.781203943962
"1707",67.2430449826265,1021.60600541412,2519.38896104236,495.658164503775,3015.04712554614,4036.65313096026,59.4198265122714
"1708",64.3877460120056,1020.14909775309,2519.40187949895,495.244670163267,3014.64654966221,4034.79564741531,59.982180994422
"1709",64.8759576559903,1019.8334488496,2519.29532007872,494.62907324663,3013.92439332535,4033.75784217495,60.160360885623
"1710",67.1564951945387,1021.2450349846,2519.61837520838,494.38154510845,3013.99992031683,4035.24495530143,60.0285965139306
"1711",68.2464415265438,1022.67100711961,2519.67188834025,494.567873863267,3014.23976220352,4036.91076932313,60.7768041382818
"1712",65.744671485948,1022.0306596981,2520.01767193977,494.27522982296,3014.29290176273,4036.32356146084,60.6340271489083
"1713",66.518930264096,1022.64830427127,2520.15267490928,493.597030345506,3013.74970525478,4036.39800952605,60.7504046156175
"1714",64.7651617023316,1021.18577595967,2519.81299162714,493.787357096321,3013.60034872346,4034.78612468313,60.2872110750357
"1715",66.5812414280763,1020.61545833553,2520.04424832454,494.57262904047,3014.61687736501,4035.23233570054,60.6913910589643
"1716",65.8600476959591,1021.40068420054,2519.5689831297,493.755329172951,3013.32431230265,4034.72499650319,60.6568210760694
"1717",66.4512048326412,1022.18069307927,2519.70871383559,493.234960156134,3012.94367399172,4035.124367071,60.529828909239
"1718",65.0682510958983,1021.66540715801,2519.56644511765,492.940842970453,3012.50728808811,4034.17269524612,60.1741970681472
"1719",63.4393114459081,1019.80180133004,2519.24829336639,492.836201227525,3012.08449459391,4031.88629592396,59.5600914253418
"1720",65.1172485830053,1019.38284163619,2518.78126885632,492.887634816635,3011.66890367295,4031.05174530914,60.3036293252226
"1721",65.5765490124058,1019.88566963846,2518.26596315416,493.009442459722,3011.27540561389,4031.16107525235,59.7244201932109
"1722",63.0325962147052,1018.14715771821,2517.80543239658,493.007576893902,3010.81300929048,4028.96016700869,59.0373595139568
"1723",65.318877563931,1018.84968135133,2517.52968972935,492.94794580069,3010.47763553004,4029.32731688137,59.0804142094627
"1724",67.1313963992394,1020.76899097057,2517.36951170173,493.284058343088,3010.65357004482,4031.42256101539,59.2315953649811
"1725",65.0660473648007,1020.81403768639,2517.05342106116,493.303724794591,3010.35714585575,4031.17118354214,59.6308025476469
"1726",67.0537270927754,1021.31902205227,2516.88225674021,493.72694698571,3010.60920372592,4031.92822577819,60.3169543689281
"1727",67.2355683624721,1022.86418671189,2517.1580435248,494.081992564106,3011.24003608891,4034.1042228008,59.3160697252002
"1728",65.9397648337543,1022.49338509622,2517.87279502164,494.144227584086,3012.01702260573,4034.51040770195,59.8154775757959
"1729",65.4459745539665,1021.72580497706,2518.54801588847,493.864239560954,3012.41225544943,4034.13806042649,59.6745202291888
"1730",66.8626789404249,1022.21833061275,2518.811003975,494.05053980402,3012.86154377902,4035.07987439177,60.1741837975054
"1731",65.7965135085157,1022.49988401328,2518.95334984412,493.788725390247,3012.74207523437,4035.24195924764,59.9713653417804
"1732",65.5231829262912,1023.27011107942,2519.0584846037,493.078589050592,3012.13707365429,4035.40718473371,59.4871322158573
"1733",64.4989252003536,1021.52797491724,2519.58192308019,493.256543540439,3012.83846662063,4034.36644153787,59.7654062678974
"1734",65.9637926513216,1022.16408590377,2519.15091882463,492.879550405991,3012.03046923063,4034.19455513439,60.4233533072223
"1735",66.4449229136807,1022.43502573077,2518.8167766753,493.354865606097,3012.1716422814,4034.60666801216,60.1633894340965
"1736",66.6367159745371,1022.38971505762,2519.31490144466,494.0365375633,3013.35143900796,4035.74115406558,59.7706538625712
"1737",67.1175437553625,1022.05639365585,2519.83130197637,495.66463422336,3015.49593619973,4037.55232985558,59.3876349341157
"1738",64.5279723072993,1020.72925903062,2519.85714773913,495.281297598456,3015.13844533758,4035.8677043682,59.9473554590026
"1739",64.7843768637996,1020.35806560326,2519.73150109314,494.636569398501,3014.36807049164,4034.7261360949,60.1616681555687
"1740",67.3067147823336,1021.90099701956,2520.07594606706,494.406559004561,3014.48250507162,4036.38350209118,59.9941622241816
"1741",68.1775844099496,1023.29049707593,2520.12090794642,494.549031208978,3014.66993915539,4037.96043623132,60.7754852701473
"1742",65.6824248809191,1022.6116647079,2520.46715791472,494.239091226502,3014.70624914122,4037.31791384912,60.6237417604903
"1743",66.5837931998479,1023.41068405695,2520.52174919903,493.525942285057,3014.04769148408,4037.45837554103,60.7282868900749
"1744",64.9065995073616,1022.11248656975,2520.19780618655,493.672752889228,3013.87055907578,4035.98304564553,60.2615931807454
"1745",66.4468359058635,1021.5028761484,2520.39085147337,494.421989314911,3014.81284078829,4036.31571693669,60.667555417975
"1746",65.8553012252807,1022.26797840593,2519.90351132251,493.682108560456,3013.58561988297,4035.8535982889,60.599270297576
