"","npp_agr","soilc_agr","litc_agr","allc_agr","rh_agr","mrt_agr","litf_agr","npp","soilc","litc","allc","allc_veg","rh"
"2006",5.26992227969817,126.091044955826,8.43206555762016,134.523110513447,4.515978306021,29.7882543709503,3.48347343554168,56.5376272095107,1579.45996852208,184.142898135792,1763.60286665787,2242.26965207704,50.3663251512308
"2007",5.61063871546312,125.951251086416,9.05863422360448,135.00988531002,5.0212890591365,26.8874951670752,3.69252405055129,58.5966032796036,1579.49833086453,184.304261754612,1763.80259261914,2241.12831989835,50.0334813331906
"2008",5.62152348212166,125.952818039672,9.22896119351129,135.181779233183,5.40172166160238,25.025683976668,3.69048941205786,63.4811966635503,1579.81604754927,185.849315984724,1765.665363534,2244.92926054513,50.6904923001265
"2009",5.62937623201185,126.043251439716,9.27439991576416,135.31765135548,5.55007932961175,24.3812103069427,3.79072462500679,66.0416092625576,1581.04255014342,187.218782525972,1768.26133266939,2250.26422292482,51.2402142083738
"2010",5.73202801920375,126.147632810617,9.23606645435469,135.383699264972,5.67004908765229,23.8769889240991,3.82064843555806,61.4965664660439,1582.38194204121,186.474400409876,1768.85634245109,2250.27867084122,51.8362391113019
"2011",5.62414573953803,126.254611495785,9.11260139203964,135.367212887824,5.6630315782067,23.903665557643,3.75411057654271,59.8940057300091,1583.124468608,185.792355054299,1768.9168236623,2249.44155733997,51.2954961625367
"2012",5.61066816633695,126.355839381949,8.97394934793877,135.329788729888,5.6294555861895,24.0395872492336,3.72469329682507,63.072938640477,1584.76843570027,186.772248196221,1771.54068389649,2252.76349119208,50.9233484929714
"2013",5.72962758283257,126.439744979694,8.84946697015432,135.289211949848,5.72210003180537,23.6432797745347,3.79051691224256,65.9136239275404,1586.51371474399,187.576486786384,1774.09020153037,2257.24864206771,51.9910433350017
"2014",5.64575115659827,126.522166909785,8.70256696564803,135.224733875433,5.72882921731532,23.6042529364845,3.77832370886956,62.2623830478813,1587.99595903653,186.846528871885,1774.84248790841,2258.05933745375,52.1524375064998
"2015",5.61944767995702,126.584734510979,8.51244300811966,135.097177519099,5.74824167063496,23.502348241419,3.7355391790961,61.2802409071167,1589.23170845607,186.127625952444,1775.35933440851,2258.16483526027,52.242184015371
"2016",5.74480842195068,126.627679788644,8.41954776808078,135.047227556725,5.77169675167526,23.398184860895,3.83018353633271,63.1456424410661,1590.28872626394,185.613754415909,1775.90248067985,2259.95617454578,52.2631560102088
"2017",5.65190398624996,126.658177826379,8.26169167360972,134.919869499989,5.77683717678809,23.3553180349466,3.75524081523851,60.3911268134885,1590.42704941308,184.608271901819,1775.0353213149,2258.74246143899,52.0953119621686
"2018",5.62275877474275,126.670613613022,8.10530427583983,134.775917888862,5.73462772220238,23.5021215705178,3.7176344007932,59.8590775789075,1590.78622759955,183.988612691852,1774.77484029141,2257.54512506728,51.6317950199085
"2019",5.71512521744432,126.675119673514,7.96567288269325,134.640792556207,5.76845223312329,23.3408871418021,3.75749495569882,62.0062405132855,1591.30671014114,184.216131823288,1775.52284196443,2258.39212644033,51.8345752876976
"2020",5.72433707538992,126.67951427276,7.88182186041202,134.561336133172,5.69584517817445,23.6244722115674,3.76509312539454,60.6070002591158,1591.27637545051,183.298355724353,1774.57473117486,2258.02065118491,51.6929699078829
"2021",5.85677030550802,126.700724527604,7.87726892738152,134.577993454986,5.71648021843137,23.5421077853243,3.87883205367782,60.6685552824127,1591.31814799501,183.238110712029,1774.55625870704,2257.63527043965,51.6108576815408
"2022",5.90373804162556,126.744515690131,7.84900053091383,134.593516221045,5.77949826052731,23.2880970205128,3.91811688534763,67.0716627721762,1592.54187154596,185.464336128992,1778.00620767496,2263.48051591699,51.8266179815513
"2023",5.90924262896761,126.806154666462,7.8057856150181,134.61194028148,5.73153924202667,23.4861761556885,3.89046829148902,63.1547012863411,1593.40295037428,185.276506824759,1778.67945719904,2264.94778054319,52.2516471647559
"2024",5.95161134597149,126.871747402299,7.76395809231638,134.635705494615,5.82929425394546,23.096398917157,3.96872082808125,63.7270945921963,1595.17422508881,185.214000758901,1780.38822584772,2267.02715889011,52.3657195359927
"2025",5.88353705880646,126.921407262408,7.66398468181786,134.585391944226,5.78585122473982,23.2611221264643,3.86346054586773,62.1387669435227,1596.01056111864,184.458031969811,1780.46859308845,2267.72548292846,52.232800590953
"2026",5.83247698052552,126.950008652443,7.53313935520369,134.483148007647,5.86277397968063,22.9384841499505,3.86718674715994,63.9209898791042,1597.00317064337,185.860946786782,1782.86411743015,2269.97182994192,52.659371738494
"2027",5.72810900235326,126.937865669443,7.32120670324086,134.259072372684,5.80772847355521,23.1173122132029,3.70772709132042,64.1587516662284,1598.29951695942,186.250868597911,1784.55038555733,2272.10197604887,52.5836154353222
"2028",5.79690709468391,126.942522223902,7.3215922845591,134.264114508461,5.73493870485292,23.4116041022107,3.89038571985381,62.1485325593557,1598.90339844354,186.147094659917,1785.05049310346,2272.69259179359,52.6118140037452
"2029",5.91853954207172,126.957457672412,7.31423679018305,134.271694462595,5.77828696993957,23.2372838457345,3.92331050541373,63.820102939075,1599.85366110914,186.107798935933,1785.96146004507,2274.66663699577,52.5925126467253
"2030",5.88381834113729,126.954278910062,7.21693172430966,134.171210634371,5.8178423365592,23.0620224599835,3.83676140740379,64.1525124156788,1600.58583571471,185.729535740364,1786.31537145508,2275.95297582683,52.9488695833604
"2031",5.89841796236536,126.953205579081,7.15628614770662,134.109491726788,5.77866092662787,23.2077108225569,3.85488453063243,62.5455043823916,1601.30972252112,185.735933528523,1787.04565604964,2276.17463023338,52.7569682535839
"2032",5.92895045762617,126.963690992979,7.11182857720332,134.075519570182,5.79729701555078,23.1272469239605,3.89931018195473,68.2135900512348,1603.21832778654,188.25177559305,1791.47010337959,2282.37552027023,52.7505023777868
"2033",5.93665697222963,127.017469670273,7.12242077618027,134.139890446453,5.86282412945244,22.8797397780686,4.03340609393087,66.3997557979853,1604.46733066379,189.438617318311,1793.90594798211,2285.70582645122,53.6926679521766
"2034",5.93198863965614,127.025493910417,7.04799278031032,134.073486690727,5.7959264182088,23.1323652193917,3.85153892797578,59.5923444571926,1605.06157211169,187.487612775713,1792.5491848874,2282.9881941782,53.0822300853557
"2035",5.84979438049386,127.031272465605,6.98588301114827,134.017155476754,5.84486880793016,22.9290271314427,3.89795099712679,61.7523496111764,1605.21621609398,186.751094341247,1791.96731043523,2283.05120538005,52.7201621524377
"2036",5.80531090174492,127.01554411819,6.87970307889984,133.89524719709,5.77197153901463,23.1974891580889,3.78790534219384,64.9007254197898,1605.62015734125,187.595944485827,1793.21610182708,2286.29637648271,52.5113035407571
"2037",5.99803615208184,127.047059240601,6.94666782439474,133.993727064996,5.76783108777731,23.2312155168593,4.01091343167841,63.7676206457139,1606.59966210621,188.011641279961,1794.61130338617,2288.2555095237,52.7923819958873
"2038",5.94805724676076,127.064470286322,6.87801923518281,133.942489521505,5.86724710029344,22.8288475381931,3.93162319855637,62.570885974376,1607.07734972911,187.311970073389,1794.3893198025,2288.23604488303,53.0854484959179
"2039",6.06117663436241,127.094909713258,6.90834533433809,134.003255047596,5.8251243833125,23.0043594316168,4.00716980137112,64.2076153639833,1608.51371555965,187.905838289175,1796.41955384882,2290.80915793422,52.8492537870731
"2040",6.02302987659086,127.104494992907,6.80566351830167,133.910158511209,5.8935987364646,22.7212887234222,3.89615099317038,63.4925206133784,1609.18523812389,187.290808566559,1796.47604669045,2291.16333153167,53.4210718169612
"2041",5.96069427874335,127.120563658619,6.76615298706138,133.88671664568,5.87349784914608,22.7950567250391,3.95243042663011,61.8092865334435,1609.51195808174,186.12938526309,1795.64134334483,2290.22699836219,53.1185411318992
"2042",5.87375501731138,127.124918304345,6.71313649052725,133.838054794872,5.78363830518139,23.140806484211,3.872241782952,63.7043583460566,1610.6504755663,187.144375016909,1797.79485058321,2292.50688558492,52.4854227670112
"2043",5.99398627756586,127.147512542777,6.72245416067576,133.869966703453,5.819934141827,23.0019727785834,3.97203057529614,67.961173123425,1612.36448812866,188.827893648188,1801.19238177684,2298.10470860415,53.1534263864477
"2044",5.89803350075335,127.169013600357,6.64881760842976,133.817831208787,5.8767019892823,22.770906445969,3.92138430736806,63.8920909775886,1613.25328993896,188.53431378171,1801.78760372067,2298.97388225083,53.7911092030025
"2045",6.06579257391221,127.202284644309,6.68868908522571,133.890973729535,5.84330301315616,22.9135770347832,4.01819861598714,64.6584735842788,1614.70638747564,188.710806483609,1803.41719395925,2301.28455038996,53.3369603075575
"2046",5.93646537768784,127.216224156639,6.60801424516393,133.824238401803,5.89911505903328,22.6854768999425,3.92090733451807,62.4329202368377,1615.57367381618,188.263520536548,1803.83719435273,2300.68029509607,53.6238708111919
"2047",5.85820864934,127.231709550446,6.51427162061588,133.745981171062,5.84806807600886,22.8701135884074,3.87406329343527,59.0638607119678,1615.50817569703,186.909920052891,1802.41809574992,2296.84312913688,53.2638318691714
"2048",5.98908391599001,127.221465833692,6.50447634964381,133.725942183336,5.84857515782424,22.864704406583,3.94499527996786,64.655476419073,1616.13468641203,187.634316914849,1803.76900332688,2299.56514669582,53.0599779325038
"2049",5.98272852924195,127.226252245498,6.52856315824879,133.754815403747,5.84841517065227,22.8702668160321,3.98863653100186,70.0737014523895,1617.25965171865,189.684269314865,1806.94392103352,2306.83789605745,53.5975871124539
"2050",5.97415927107208,127.226634570837,6.49821977841609,133.724854349254,5.82796930452311,22.9453601008964,3.91425264568488,67.0301711086014,1618.80574196638,190.842805729336,1809.64854769572,2310.71452223108,54.1414500823899
"2051",5.96855170518389,127.245233535687,6.49635482659274,133.74158836228,5.84351158869985,22.887194854017,3.97111664856962,66.4800969883886,1620.42168931173,191.747074738261,1812.16876404999,2314.04103053925,54.3593090616879
"2052",5.93074930618151,127.245325730492,6.43503203856723,133.68035776906,5.93200795198842,22.5354313161785,3.95123827057631,63.3138199654278,1621.05788670438,190.753781442301,1811.81166814668,2313.89218383385,54.5771241548698
"2053",5.82975253601284,127.212501203242,6.32964478652941,133.542145989771,5.86721985269322,22.7607196155214,3.82819163310835,63.3572318197154,1622.08784646022,189.813245501438,1811.90109196165,2314.24183194961,54.0722063384994
